year,state,state_min_wage,fed_min_wage
2010,OH,7.3,7.25
2010,OK,2.0,7.25
2010,OR,8.4,7.25
2010,PA,7.25,7.25
2010,PR,0.0,7.25
2010,RI,7.4,7.25
2010,SC,0.0,7.25
2010,SD,7.25,7.25
2010,TN,0.0,7.25
2010,TX,7.25,7.25
2010,VI,4.3,7.25
2010,UT,7.25,7.25
2010,VT,8.06,7.25
2010,VA,7.25,7.25
2010,WA,8.55,7.25
2010,WV,7.25,7.25
2010,WI,7.25,7.25
2010,WY,5.15,7.25
2011,AL,0.0,7.25
2011,AK,7.75,7.25
2011,AZ,7.35,7.25
2011,AR,6.25,7.25
2011,CA,8.0,7.25
2011,CO,7.36,7.25
2011,CT,8.25,7.25
2011,DE,7.25,7.25
2011,DC,8.25,7.25
2011,FL,7.25,7.25
2011,GA,5.15,7.25
2011,GU,7.25,7.25
2011,HI,7.25,7.25
2011,ID,7.25,7.25
2011,IL,8.25,7.25
2011,IN,7.25,7.25
2011,IA,7.25,7.25
2011,KS,7.25,7.25
2011,KY,7.25,7.25
2011,LA,0.0,7.25
2011,ME,7.5,7.25
2011,MD,7.25,7.25
2011,MA,8.0,7.25
2011,MI,7.4,7.25
2011,MN,5.25,7.25
2011,MS,0.0,7.25
2011,MO,7.25,7.25
2011,MT,4.0,7.25
2011,NE,7.25,7.25
2011,NV,7.25,7.25
2011,NH,7.25,7.25
2011,NJ,7.25,7.25
2011,NM,7.5,7.25
2011,NY,7.25,7.25
2011,NC,7.25,7.25
2011,ND,7.25,7.25
2011,OH,7.4,7.25
2011,OK,2.0,7.25
2011,OR,8.5,7.25
2011,PA,7.25,7.25
2011,PR,0.0,7.25
2011,RI,7.4,7.25
2011,SC,0.0,7.25
2011,SD,7.25,7.25
2011,TN,0.0,7.25
2011,TX,7.25,7.25
2011,VI,4.3,7.25
2011,UT,7.25,7.25
2011,VT,8.15,7.25
2011,VA,7.25,7.25
2011,WA,8.67,7.25
2011,WV,7.25,7.25
2011,WI,7.25,7.25
2011,WY,5.15,7.25
2012,AL,0.0,7.25
2012,AK,7.75,7.25
2012,AZ,7.65,7.25
2012,AR,6.25,7.25
2012,CA,8.0,7.25
2012,CO,7.64,7.25
2012,CT,8.25,7.25
2012,DE,7.25,7.25
2012,DC,8.25,7.25
2012,FL,7.67,7.25
2012,GA,5.15,7.25
2012,GU,7.25,7.25
2012,HI,7.25,7.25
2012,ID,7.25,7.25
2012,IL,8.25,7.25
2012,IN,7.25,7.25
2012,IA,7.25,7.25
2012,KS,7.25,7.25
2012,KY,7.25,7.25
2012,LA,0.0,7.25
2012,ME,7.5,7.25
2012,MD,7.25,7.25
2012,MA,8.0,7.25
2012,MI,7.4,7.25
2012,MN,5.25,7.25
2012,MS,0.0,7.25
2012,MO,7.25,7.25
2012,MT,4.0,7.25
2012,NE,7.25,7.25
2012,NV,7.25,7.25
2012,NH,7.25,7.25
2012,NJ,7.25,7.25
2012,NM,7.5,7.25
2012,NY,7.25,7.25
2012,NC,7.25,7.25
2012,ND,7.25,7.25
2012,OH,7.7,7.25
2012,OK,2.0,7.25
